:ID,:LABEL,name
盐城工学院,Organization,盐城工学院
曲阜师范大学,Organization,曲阜师范大学
中国财政科学研究院,Organization,中国财政科学研究院
东莞理工学院,Organization,东莞理工学院
江西科技师范大学,Organization,江西科技师范大学
青岛理工大学,Organization,青岛理工大学
淮阴工学院,Organization,淮阴工学院
扬州大学,Organization,扬州大学
石家庄铁道大学,Organization,石家庄铁道大学
江西师范大学,Organization,江西师范大学
西北农林科技大学,Organization,西北农林科技大学
中国科学院大学(中国科学院海洋研究所),Organization,中国科学院大学(中国科学院海洋研究所)
内蒙古农业大学,Organization,内蒙古农业大学
中共中央党校（国家行政学院）,Organization,中共中央党校（国家行政学院）
华中农业大学,Organization,华中农业大学
中国科学院大学(中国科学院物理研究所),Organization,中国科学院大学(中国科学院物理研究所)
中国科学院大学(中国科学院长春光学精密机械与物理研究所),Organization,中国科学院大学(中国科学院长春光学精密机械与物理研究所)
中国农业科学院,Organization,中国农业科学院
华北水利水电大学,Organization,华北水利水电大学
海南大学,Organization,海南大学
成都中医药大学,Organization,成都中医药大学
东华大学,Organization,东华大学
哈尔滨师范大学,Organization,哈尔滨师范大学
中国地震局工程力学研究所,Organization,中国地震局工程力学研究所
湖南中医药大学,Organization,湖南中医药大学
安徽农业大学,Organization,安徽农业大学
燕山大学,Organization,燕山大学
北京工业大学,Organization,北京工业大学
广西师范大学,Organization,广西师范大学
哈尔滨工程大学,Organization,哈尔滨工程大学
西南科技大学,Organization,西南科技大学
首都体育学院,Organization,首都体育学院
内蒙古财经大学,Organization,内蒙古财经大学
陕西理工大学,Organization,陕西理工大学
长春工业大学,Organization,长春工业大学
北部湾大学,Organization,北部湾大学
广州大学,Organization,广州大学
商务部国际贸易经济合作研究院,Organization,商务部国际贸易经济合作研究院
安徽建筑大学,Organization,安徽建筑大学
河北大学,Organization,河北大学
安徽师范大学,Organization,安徽师范大学
吉林化工学院,Organization,吉林化工学院
长春中医药大学,Organization,长春中医药大学
太原师范学院,Organization,太原师范学院
防灾科技学院,Organization,防灾科技学院
湖北医药学院,Organization,湖北医药学院
海南医科大学,Organization,海南医科大学
武汉纺织大学,Organization,武汉纺织大学
广州体育学院,Organization,广州体育学院
河南工业大学,Organization,河南工业大学
内蒙古师范大学,Organization,内蒙古师范大学
延安大学,Organization,延安大学
中共广东省委党校,Organization,中共广东省委党校
内蒙古民族大学,Organization,内蒙古民族大学
闽南师范大学,Organization,闽南师范大学
长春理工大学,Organization,长春理工大学
西安外国语大学,Organization,西安外国语大学
天津理工大学,Organization,天津理工大学
佳木斯大学,Organization,佳木斯大学
天水师范学院,Organization,天水师范学院
西北师范大学,Organization,西北师范大学
中原工学院,Organization,中原工学院
江西农业大学,Organization,江西农业大学
贵州大学,Organization,贵州大学
桂林理工大学,Organization,桂林理工大学
东北林业大学,Organization,东北林业大学
吉林农业大学,Organization,吉林农业大学
内蒙古工业大学,Organization,内蒙古工业大学
吉首大学,Organization,吉首大学
桂林医学院,Organization,桂林医学院
自然资源部第一海洋研究所,Organization,自然资源部第一海洋研究所
上海外国语大学,Organization,上海外国语大学
河北工程大学,Organization,河北工程大学
中共四川省委党校,Organization,中共四川省委党校
吉林建筑大学,Organization,吉林建筑大学
中国人民解放军陆军军医大学,Organization,中国人民解放军陆军军医大学
山西大同大学,Organization,山西大同大学
贵州医科大学,Organization,贵州医科大学
辽宁中医药大学,Organization,辽宁中医药大学
黑龙江八一农垦大学,Organization,黑龙江八一农垦大学
哈尔滨理工大学,Organization,哈尔滨理工大学
甘肃农业大学,Organization,甘肃农业大学
华中师范大学,Organization,华中师范大学
中国科学院大学(中国科学院大学工程科学学院）,Organization,中国科学院大学(中国科学院大学工程科学学院）
江西中医药大学,Organization,江西中医药大学
四川农业大学,Organization,四川农业大学
山东艺术学院,Organization,山东艺术学院
河北建筑工程学院,Organization,河北建筑工程学院
江汉大学,Organization,江汉大学
浙江财经大学,Organization,浙江财经大学
天津农学院,Organization,天津农学院
河南财经政法大学,Organization,河南财经政法大学
北方民族大学,Organization,北方民族大学
中共山东省委党校,Organization,中共山东省委党校
东北电力大学,Organization,东北电力大学
西安邮电大学,Organization,西安邮电大学
西安工业大学,Organization,西安工业大学
冶金自动化研究设计院,Organization,冶金自动化研究设计院
河北师范大学,Organization,河北师范大学
湖北大学,Organization,湖北大学
重庆医科大学,Organization,重庆医科大学
大连医科大学,Organization,大连医科大学
上海大学,Organization,上海大学
长安大学,Organization,长安大学
广州医科大学,Organization,广州医科大学
安徽中医药大学,Organization,安徽中医药大学
陕西科技大学,Organization,陕西科技大学
东南大学,Organization,东南大学
合肥工业大学,Organization,合肥工业大学
湘潭大学,Organization,湘潭大学
南京航空航天大学,Organization,南京航空航天大学
法国蒙彼利埃第三大学(Universite Paul-Valery Montpellier III),Organization,法国蒙彼利埃第三大学(Universite Paul-Valery Montpellier III)
湖南大学,Organization,湖南大学
南京邮电大学,Organization,南京邮电大学
华南理工大学,Organization,华南理工大学
成都理工大学,Organization,成都理工大学
上海海事大学,Organization,上海海事大学
北京交通大学,Organization,北京交通大学
中国电子科技集团公司电子科学研究院,Organization,中国电子科技集团公司电子科学研究院
上海交通大学,Organization,上海交通大学
河南中医药大学,Organization,河南中医药大学
北京林业大学,Organization,北京林业大学
湖南农业大学,Organization,湖南农业大学
中国科学院大学(中国科学院深圳先进技术研究院),Organization,中国科学院大学(中国科学院深圳先进技术研究院)
重庆大学,Organization,重庆大学
中共中央党校(国家行政学院),Organization,中共中央党校(国家行政学院)
中央财经大学,Organization,中央财经大学
南京医科大学,Organization,南京医科大学
南华大学,Organization,南华大学
对外经济贸易大学,Organization,对外经济贸易大学
南开大学,Organization,南开大学
中国矿业大学(北京),Organization,中国矿业大学(北京)
中南大学,Organization,中南大学
天津大学,Organization,天津大学
武汉理工大学,Organization,武汉理工大学
西南交通大学,Organization,西南交通大学
南京师范大学,Organization,南京师范大学
黑龙江大学,Organization,黑龙江大学
北京化工大学,Organization,北京化工大学
贵州师范大学,Organization,贵州师范大学
中国人民解放军海军军医大学,Organization,中国人民解放军海军军医大学
中国艺术研究院,Organization,中国艺术研究院
山东大学,Organization,山东大学
新疆师范大学,Organization,新疆师范大学
北京中医药大学,Organization,北京中医药大学
上海社会科学院,Organization,上海社会科学院
华东政法大学,Organization,华东政法大学
太原理工大学,Organization,太原理工大学
上海财经大学,Organization,上海财经大学
天津财经大学,Organization,天津财经大学
南京理工大学,Organization,南京理工大学
山西农业大学,Organization,山西农业大学
中国科学院大学(中国科学院西安光学精密机械研究所),Organization,中国科学院大学(中国科学院西安光学精密机械研究所)
山东中医药大学,Organization,山东中医药大学
福建师范大学,Organization,福建师范大学
清华大学,Organization,清华大学
安徽大学,Organization,安徽大学
天津医科大学,Organization,天津医科大学
东北大学,Organization,东北大学
福州大学,Organization,福州大学
西安交通大学,Organization,西安交通大学
苏州大学,Organization,苏州大学
中国人民解放军医学院,Organization,中国人民解放军医学院
广西医科大学,Organization,广西医科大学
南京农业大学,Organization,南京农业大学
新疆大学,Organization,新疆大学
福建医科大学,Organization,福建医科大学
厦门大学,Organization,厦门大学
中国石油大学(华东),Organization,中国石油大学(华东)
西北工业大学,Organization,西北工业大学
中国地质大学(北京),Organization,中国地质大学(北京)
天津中医药大学,Organization,天津中医药大学
华南农业大学,Organization,华南农业大学
中国人民大学,Organization,中国人民大学
中国山东威海,Organization,中国山东威海
景德镇陶瓷大学,Organization,景德镇陶瓷大学
重庆三峡学院,Organization,重庆三峡学院
河北地质大学,Organization,河北地质大学
中国江苏镇江,Organization,中国江苏镇江
阜阳师范大学,Organization,阜阳师范大学
北京印刷学院,Organization,北京印刷学院
塔里木大学,Organization,塔里木大学
湖北师范大学,Organization,湖北师范大学
中国北京,Organization,中国北京
西京学院,Organization,西京学院
中国科学院大学(中国科学院光电技术研究所),Organization,中国科学院大学(中国科学院光电技术研究所)
中国科学院大学(中国科学院沈阳计算技术研究所),Organization,中国科学院大学(中国科学院沈阳计算技术研究所)
东华理工大学,Organization,东华理工大学
山东交通学院,Organization,山东交通学院
天津职业技术师范大学,Organization,天津职业技术师范大学
中山大学,Organization,中山大学
西南民族大学,Organization,西南民族大学
浙江科技学院,Organization,浙江科技学院
东北农业大学,Organization,东北农业大学
西安石油大学,Organization,西安石油大学
河北农业大学,Organization,河北农业大学
南京财经大学,Organization,南京财经大学
三峡大学,Organization,三峡大学
重庆理工大学,Organization,重庆理工大学
北京石油化工学院,Organization,北京石油化工学院
广东工业大学,Organization,广东工业大学
河南科技学院,Organization,河南科技学院
青岛农业大学,Organization,青岛农业大学
湖州师范学院,Organization,湖州师范学院
河北工业大学,Organization,河北工业大学
河北科技师范学院,Organization,河北科技师范学院
华北理工大学,Organization,华北理工大学
中国科学院大学(中国科学院微小卫星创新研究院）,Organization,中国科学院大学(中国科学院微小卫星创新研究院）
长江大学,Organization,长江大学
福建工程学院,Organization,福建工程学院
国防科技大学,Organization,国防科技大学
厦门理工学院,Organization,厦门理工学院
大连理工大学,Organization,大连理工大学
常州大学,Organization,常州大学
浙江海洋大学,Organization,浙江海洋大学
青海大学,Organization,青海大学
中国山西太原,Organization,中国山西太原
湖北文理学院,Organization,湖北文理学院
中国民用航空飞行学院,Organization,中国民用航空飞行学院
辽宁科技大学,Organization,辽宁科技大学
沈阳化工大学,Organization,沈阳化工大学
重庆邮电大学,Organization,重庆邮电大学
湖南科技大学,Organization,湖南科技大学
云南农业大学,Organization,云南农业大学
江苏海洋大学,Organization,江苏海洋大学
浙江理工大学,Organization,浙江理工大学
武汉邮电科学研究院,Organization,武汉邮电科学研究院
南京中医药大学,Organization,南京中医药大学
华东交通大学,Organization,华东交通大学
成都医学院,Organization,成都医学院
临沂大学,Organization,临沂大学
上海师范大学,Organization,上海师范大学
东北财经大学,Organization,东北财经大学
郑州大学,Organization,郑州大学
河北经贸大学,Organization,河北经贸大学
战略支援部队信息工程大学,Organization,战略支援部队信息工程大学
牡丹江师范学院,Organization,牡丹江师范学院
集美大学,Organization,集美大学
信阳师范学院,Organization,信阳师范学院
中国河北秦皇岛,Organization,中国河北秦皇岛
中南财经政法大学,Organization,中南财经政法大学
伊犁师范大学,Organization,伊犁师范大学
郑州航空工业管理学院,Organization,郑州航空工业管理学院
洛阳师范学院,Organization,洛阳师范学院
成都大学,Organization,成都大学
广东技术师范大学,Organization,广东技术师范大学
中国测绘科学研究院,Organization,中国测绘科学研究院
贵州财经大学,Organization,贵州财经大学
中国地质大学,Organization,中国地质大学
延边大学,Organization,延边大学
西北大学,Organization,西北大学
苏州科技大学,Organization,苏州科技大学
中国科学院大学(中国科学院文献情报中心),Organization,中国科学院大学(中国科学院文献情报中心)
河南师范大学,Organization,河南师范大学
云南民族大学,Organization,云南民族大学
西北民族大学,Organization,西北民族大学
中央音乐学院,Organization,中央音乐学院
大理大学,Organization,大理大学
北京大学,Organization,北京大学
天津师范大学,Organization,天津师范大学
首都经济贸易大学,Organization,首都经济贸易大学
广东海洋大学,Organization,广东海洋大学
汕头大学,Organization,汕头大学
北华航天工业学院,Organization,北华航天工业学院
甘肃中医药大学,Organization,甘肃中医药大学
经济参考报,Organization,经济参考报
第一财经日报,Organization,第一财经日报
国际关系学院,Organization,国际关系学院
中国能源报,Organization,中国能源报
云南大学,Organization,云南大学
证券时报,Organization,证券时报
中国辽宁沈阳,Organization,中国辽宁沈阳
南京审计大学,Organization,南京审计大学
中国四川成都,Organization,中国四川成都
新疆财经大学,Organization,新疆财经大学
重庆师范大学,Organization,重庆师范大学
中国科学院大学(中国科学院过程工程研究所),Organization,中国科学院大学(中国科学院过程工程研究所)
中国石油大学(北京),Organization,中国石油大学(北京)
北京理工大学,Organization,北京理工大学
中国浙江舟山,Organization,中国浙江舟山
复旦大学,Organization,复旦大学
中国广东广州,Organization,中国广东广州
中国天津,Organization,中国天津
黄冈师范学院,Organization,黄冈师范学院
线上会议,Organization,线上会议
中国广东珠海,Organization,中国广东珠海
中国山东济南,Organization,中国山东济南
中南民族大学,Organization,中南民族大学
四川外国语大学,Organization,四川外国语大学
中国山东日照,Organization,中国山东日照
广西中医药大学,Organization,广西中医药大学
赣南医科大学,Organization,赣南医科大学
信阳师范大学,Organization,信阳师范大学
佛山科学技术学院,Organization,佛山科学技术学院
杭州师范大学,Organization,杭州师范大学
北京有色金属研究总院,Organization,北京有色金属研究总院
中国环境科学研究院,Organization,中国环境科学研究院
北京信息科技大学,Organization,北京信息科技大学
赣南师范大学,Organization,赣南师范大学
天津科技大学,Organization,天津科技大学
南昌航空大学,Organization,南昌航空大学
新疆农业大学,Organization,新疆农业大学
重庆科技学院,Organization,重庆科技学院
仲恺农业工程学院,Organization,仲恺农业工程学院
天津工业大学,Organization,天津工业大学
湖北民族大学,Organization,湖北民族大学
五邑大学,Organization,五邑大学
上海应用技术大学,Organization,上海应用技术大学
四川美术学院,Organization,四川美术学院
蚌埠医学院,Organization,蚌埠医学院
河南科技大学,Organization,河南科技大学
宁波大学,Organization,宁波大学
暨南大学,Organization,暨南大学
安徽工业大学,Organization,安徽工业大学
湖南理工学院,Organization,湖南理工学院
中国科学院大学(中国科学院上海药物研究所),Organization,中国科学院大学(中国科学院上海药物研究所)
中国科学院大学(中国科学院上海应用物理研究所),Organization,中国科学院大学(中国科学院上海应用物理研究所)
西安科技大学,Organization,西安科技大学
中国科学院大学(中国科学院宁波材料技术与工程研究所),Organization,中国科学院大学(中国科学院宁波材料技术与工程研究所)
海南医学院,Organization,海南医学院
广东药科大学,Organization,广东药科大学
华侨大学,Organization,华侨大学
绍兴文理学院,Organization,绍兴文理学院
山西师范大学,Organization,山西师范大学
北京大学医学部,Organization,北京大学医学部
天津商业大学,Organization,天津商业大学
中国科学院大学(中国科学院青海盐湖研究所),Organization,中国科学院大学(中国科学院青海盐湖研究所)
中国科学院大学(中国科学院东北地理与农业生态研究所),Organization,中国科学院大学(中国科学院东北地理与农业生态研究所)
天津城建大学,Organization,天津城建大学
鲁东大学,Organization,鲁东大学
合肥大学,Organization,合肥大学
同济大学,Organization,同济大学
化学工业出版社,Organization,化学工业出版社
中国计量大学,Organization,中国计量大学
上海电力大学,Organization,上海电力大学
长沙理工大学,Organization,长沙理工大学
中国林业科学研究院,Organization,中国林业科学研究院
上海工程技术大学,Organization,上海工程技术大学
