:START_ID(Organization),:END_ID(Organization),:TYPE
中共中央党校（国家行政学院）,中共中央党校(国家行政学院),ALIAS_OF
中国浙江杭州,中国杭州,ALIAS_OF
信阳师范大学,信阳师范学院,ALIAS_OF
蚌埠医科大学,蚌埠医学院,ALIAS_OF
海南医科大学,海南医学院,ALIAS_OF
国防科学技术大学,国防科技大学,ALIAS_OF
